ÍNDICE,TÍTULO,DURAÇÃO,PRODUTO,ANUNCIANTE,AGENCIA,DIRETOR DE CENA,TIPO,SEGMENTO,CRT,PRODUTORA,CNPJ,PRODUTORA DE AUDIO,ANO DE PRODUCAO,CLOSED CAPTION,TECLA SAP,LIBRAS
1,CHA REPARACAO,"120""",INSTITUCIONAL,GRUPO GAY DA BAHIA,PROPEG COMUNICAÇÃO S/A,THIAGO SANTOS LIMA ARTIMONTE,COMUM,TODOS OS SEGMENTOS DE MERCADO,20250044600006,ELLAH FILMES LTDA,52.212.223/0001-16,IELOW SOUND,2025,NAO,NAO,NAO
2,ORO BY ORNARE,"30""",IMOBILIARIO,ILHA PURA 01 EMPREENDIMENTO IMOBILIARIO S.A.,UNUM COMUNICACAO E CRIATIVIDADE LTDA,PAULO MACHADO LOMBA NETO,COMUM,TODOS OS SEGMENTOS DE MERCADO,2025024064000-7,ELLAH FILMES LTDA,52.212.223/0001-16,IELOW SOUND,2025,NAO,NAO,NAO
3,TURISMO 03 05,"30""",INSTITUCIONAL,PREFEITURA DA CIDADE RIO DE JANEIRO - PCRJ,LEIAUTE COMUNICAÇÃO E PROPAGANDA,KIKO LOMBA,COMUM,TODOS OS SEGMENTOS DE MERCADO,20240423520032,ELLAH FILMES LTDA,52.212.223/0001-16,ELOS ESTUDIOS E SERVIÇOS LTDA,2024,NAO,NAO,SIM
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
